date,user_id,monthly_income,monthly_expense_total,savings_rate,budget_goal,financial_scenario,credit_score,debt_to_income_ratio,loan_payment,investment_amount,subscription_services,emergency_fund,transaction_count,fraud_flag,discretionary_spending,essential_spending,income_type,rent_or_mortgage,category,cash_flow_status,financial_advice_score,financial_stress_level,actual_savings,savings_goal_met,surplus,expense_ratio,debt_pressure
2019-10-28,1045,3832.71,4869.530000000001,0.23,3178.17,normal,611.0,0.19,316.34,452.59,9,1095.63,73,0,585.69,3029.36,Mixed,1254.48,Investments,Positive,62.5,Medium,601.94,0,-1036.8200000000006,127.05187713132484,8.253689947843693
2019-11-27,1357,2136.79,3549.63,0.34,2685.16,normal,669.0,0.39,285.31,528.05,5,1967.83,53,0,283.44,2492.21,Freelance,773.98,Entertainment,Negative,36.1,High,0.0,0,-1412.8400000000001,166.11974035820086,13.352271397750831
2019-12-27,1403,5462.92,3569.32,0.29,2973.21,recession,670.0,0.23,679.87,275.58,2,1431.37,41,0,582.65,1483.81,Salary,1502.86,Groceries,Positive,39.0,Low,2413.63,0,1893.6,65.33721892321323,12.445175840026945
2020-01-26,1884,2110.66,4335.99,0.24,1420.73,recession,647.0,0.32,331.5,563.48,6,1153.64,86,0,309.46,3236.23,Salary,790.3,Insurance,Positive,17.2,Medium,0.0,0,-2225.33,205.4328977665754,15.705987700529695
2020-02-25,1675,3507.29,4083.45,0.26,3493.12,normal,739.0,0.4,650.88,220.05,7,1405.48,74,0,248.39,2825.21,Salary,1009.85,Investments,Neutral,11.2,Medium,845.89,0,-576.1599999999999,116.42749815384528,18.55791793664054
2020-03-26,1750,2098.58,2696.25,0.16,2896.61,normal,620.0,0.29,655.47,284.89,1,1381.6,58,0,494.7,1332.65,Salary,868.9,Dining Out,Positive,94.2,Low,0.0,0,-597.6700000000001,128.47973391531417,31.23397726081446
2020-04-25,1222,3677.65,4223.360000000001,0.3,2068.33,normal,631.0,0.13,511.94,347.32,7,1729.56,66,1,362.3,2576.38,Mixed,1284.68,Groceries,Negative,50.0,Low,187.83,0,-545.7100000000005,114.83855179258495,13.920302367000668
2020-05-25,1050,1884.19,4338.37,0.29,3904.13,normal,676.0,0.41,550.79,394.33,6,1692.29,59,0,633.22,2517.59,Mixed,1187.56,Dining Out,Positive,68.6,Low,0.0,0,-2454.18,230.25119547391716,29.232189959611286
2020-06-24,1234,3697.31,3612.89,0.17,3122.47,normal,743.0,0.52,351.55,247.39,6,493.09,62,0,516.89,2177.0,Salary,919.0,Dining Out,Negative,90.6,Medium,173.75,0,84.42000000000007,97.71671837092373,9.508264116344044
2020-07-24,1447,4726.33,3258.65,0.14,2539.69,normal,691.0,0.48,369.67,409.83,7,1320.35,96,0,478.5,1850.42,Salary,929.73,Transportation,Negative,73.7,Low,777.95,0,1467.6799999999998,68.94673033833863,7.821502095706394
2020-08-23,1347,2911.22,3994.5600000000004,0.17,2330.65,normal,631.0,0.52,448.13,112.31,7,1431.26,35,0,755.99,1737.44,Salary,1501.13,Investments,Neutral,43.5,High,1024.55,0,-1083.3400000000006,137.21257754480942,15.393202849664403
2020-09-22,1918,3972.53,4056.09,0.22,2700.51,normal,759.0,0.44,469.72,955.5,7,1359.6,82,0,563.8,2305.04,Mixed,1187.25,Insurance,Neutral,79.7,Low,1178.8,0,-83.55999999999995,102.10344541136254,11.824202712125523
2020-10-22,1879,5136.85,4278.82,0.28,2837.11,inflation,694.0,0.25,428.59,529.61,7,1045.61,64,0,435.07,2900.43,Salary,943.32,Healthcare,Neutral,81.4,Low,2662.01,0,858.0300000000007,83.29657280239834,8.343440045942552
2020-11-21,1057,4124.22,3164.37,0.26,3029.37,normal,706.0,0.21,308.5,258.74,5,615.45,94,0,643.02,1682.26,Salary,839.09,Utilities,Neutral,78.3,Low,1411.52,0,959.8500000000004,76.72650828520301,7.480202317044192
2020-12-21,1129,4622.48,2815.19,0.18,2541.05,normal,661.0,0.46,318.48,591.38,3,2306.84,27,0,260.55,1651.01,Salary,903.63,Groceries,Negative,64.1,Low,2402.97,0,1807.2899999999995,60.90215641819976,6.889808068396186
2021-01-20,1680,4859.63,3719.4199999999996,0.4,2665.05,normal,609.0,0.32,787.17,459.74,2,768.35,31,0,186.89,1921.24,Salary,1611.29,Healthcare,Positive,39.8,Low,2028.92,0,1140.2100000000005,76.53710261892365,16.198146772490908
2021-02-19,1621,5414.37,3893.4300000000003,0.1,2707.47,inflation,665.0,0.56,540.72,512.29,5,1233.88,41,0,468.01,2460.65,Salary,964.77,Transportation,Positive,47.7,Medium,2085.87,0,1520.9399999999996,71.90919719191707,9.986757462087002
2021-03-21,1998,6042.51,2782.68,0.05,2185.71,inflation,620.0,0.5,419.3,579.51,5,1513.09,22,0,383.93,1975.73,Salary,423.02,Dining Out,Positive,27.9,Medium,3796.15,1,3259.8300000000004,46.051723538728105,6.939169318710271
2021-04-20,1058,4422.94,3428.06,0.32,2506.2,normal,662.0,0.38,440.32,326.25,9,322.35,90,0,809.16,1000.0,Salary,1618.9,Groceries,Negative,27.3,High,1433.8,0,994.8799999999997,77.50636454485026,9.955369053163734
2021-05-20,1334,4012.76,2048.44,0.3,3328.25,normal,617.0,0.53,720.24,0.0,6,1168.02,96,0,183.69,1375.03,Freelance,489.72,Entertainment,Negative,65.4,Medium,1819.07,0,1964.3200000000002,51.04815638114415,17.948743508208814
2021-06-19,1256,3163.61,3808.42,0.22,2749.02,recession,619.0,0.29,377.91,686.52,6,1411.56,96,0,220.76,2389.84,Salary,1197.82,Entertainment,Negative,89.5,Low,0.0,0,-644.81,120.38209513814915,11.94553058057093
2021-07-19,1421,2980.36,3933.94,0.15,3026.26,recession,690.0,0.23,365.45,213.49,6,453.89,78,0,96.31,2709.84,Salary,1127.79,Rent,Positive,84.0,Medium,896.61,0,-953.5799999999999,131.99546363526554,12.26194151042156
2021-08-18,1456,3515.99,4060.94,0.06,3289.32,inflation,633.0,0.12,479.01,353.98,8,347.98,38,0,482.87,2536.01,Salary,1042.06,Groceries,Positive,98.8,Low,239.87,0,-544.9500000000003,115.49919083956439,13.623758884410936
2021-09-17,1974,3855.03,3377.2200000000003,0.4,3054.35,normal,736.0,0.52,247.74,223.91,9,497.88,22,0,352.05,2030.87,Freelance,994.3,Insurance,Positive,80.7,Low,1344.75,0,477.80999999999995,87.6055439257282,6.426409133002855
2021-10-17,1730,3725.58,2510.59,0.08,2739.51,normal,771.0,0.43,588.68,736.18,9,890.21,70,0,0.0,1675.65,Salary,834.94,Healthcare,Positive,88.5,Medium,294.67,0,1214.9899999999998,67.38789664964919,15.801029638338191
2021-11-16,1340,5423.61,4602.09,0.39,2646.35,recession,718.0,0.2,330.56,610.25,4,735.81,86,0,546.81,2287.09,Salary,1768.19,Groceries,Positive,62.6,Medium,1998.87,0,821.5199999999995,84.85289318369131,6.094833514946687
2021-12-16,1794,5273.97,4491.9,0.16,3373.36,recession,602.0,0.44,426.18,621.56,7,898.01,71,0,547.92,2573.98,Salary,1370.0,Transportation,Positive,72.8,Medium,2690.86,0,782.0700000000006,85.17113294159806,8.080819572352516
2022-01-15,1776,4276.99,3451.9100000000003,0.31,3381.24,inflation,731.0,0.22,480.68,282.26,7,2344.53,29,0,482.68,2102.28,Freelance,866.95,Education,Positive,46.9,High,1491.78,0,825.0799999999995,80.70886300879826,11.238745005249019
2022-02-14,1173,4781.39,4018.4700000000003,0.29,2503.33,recession,691.0,0.36,742.09,0.0,7,0.0,62,0,119.8,2368.1,Salary,1530.57,Utilities,Positive,22.2,High,1501.57,0,762.9200000000001,84.04397047720433,15.520382148287423
2022-03-16,1482,4457.69,4409.99,0.3,2887.95,normal,632.0,0.13,390.65,0.0,3,1154.66,35,0,469.88,2333.02,Salary,1607.09,Entertainment,Neutral,51.5,Medium,935.42,0,47.69999999999982,98.92993904914877,8.76350755660443
2022-04-15,1913,3782.73,3534.96,0.16,3606.0,normal,689.0,0.5,564.04,278.85,9,790.98,25,0,260.49,2092.8,Salary,1181.67,Rent,Negative,4.2,Low,1541.25,0,247.76999999999998,93.44996867341841,14.910924120939109
2022-05-15,1529,3933.49,5068.01,0.37,3058.63,normal,635.0,0.13,880.34,552.72,3,210.08,52,0,598.5,3256.12,Salary,1213.39,Transportation,Negative,98.0,Low,0.0,0,-1134.5200000000004,128.84257999893225,22.380633991696943
2022-06-14,1737,4047.29,3610.9100000000003,0.07,3092.41,normal,599.0,0.4,602.42,342.41,3,857.38,21,0,662.09,1979.19,Salary,969.63,Rent,Neutral,77.9,Low,1687.32,0,436.37999999999965,89.2179705432524,14.884527671602479
2022-07-14,1205,4076.19,3971.67,0.32,2422.02,normal,728.0,0.59,358.86,160.08,5,471.82,70,0,482.28,2970.22,Salary,519.17,Education,Negative,4.2,High,958.64,0,104.51999999999998,97.43584082194403,8.803809439697364
2022-08-13,1756,4155.26,4873.57,0.17,2270.44,normal,720.0,0.27,743.05,245.03,2,1347.98,27,0,697.79,2778.93,Salary,1396.85,Insurance,Positive,11.9,Low,998.03,0,-718.3099999999995,117.28676424579929,17.88215418529767
2022-09-12,1957,1900.97,5108.46,0.4,3450.97,recession,744.0,0.31,548.82,237.28,9,1398.07,35,0,719.91,2969.82,Salary,1418.73,Education,Positive,5.2,Low,0.0,0,-3207.49,268.7291225006181,28.87052399564433
2022-10-12,1983,2402.19,5075.51,0.06,2919.87,normal,705.0,0.18,686.61,461.51,6,1569.13,54,0,702.66,2610.4,Salary,1762.45,Insurance,Positive,39.9,Low,0.0,0,-2673.32,211.28678414280304,28.58266831516241
2022-11-11,1206,3764.31,4022.15,0.22,2831.01,normal,662.0,0.44,671.29,0.0,4,789.59,96,0,619.13,2275.19,Salary,1127.83,Groceries,Positive,66.0,Low,846.24,0,-257.84000000000015,106.84959527775344,17.833015878075926
2022-12-11,1983,3549.62,4152.2,0.07,2304.84,normal,690.0,0.16,639.79,313.85,7,713.24,94,0,722.47,2522.92,Salary,906.81,Insurance,Positive,71.6,High,752.47,0,-602.5799999999999,116.97590164580998,18.02418287027907
2023-01-10,1984,4722.51,3626.39,0.34,2922.43,normal,655.0,0.33,632.85,130.94,3,662.47,82,0,738.87,1951.17,Salary,936.35,Healthcare,Positive,32.4,High,1647.5,0,1096.1200000000003,76.78946153634402,13.400712756563776
2023-02-09,1368,3393.56,4594.9,0.4,3043.73,normal,614.0,0.19,415.4,249.76,4,1264.6,96,0,626.21,3048.68,Mixed,920.01,Education,Neutral,41.1,Low,0.0,0,-1201.3399999999997,135.4005822793762,12.240832635933945
2023-03-11,1443,4264.95,5136.85,0.09,2964.82,normal,561.0,0.27,153.88,30.37,8,1429.66,35,0,466.6,3184.95,Salary,1485.3,Entertainment,Negative,27.8,Medium,2446.3,0,-871.9000000000005,120.44338151678215,3.6080141619479713
2023-04-10,1506,3170.26,4081.9700000000003,0.36,2228.47,recession,661.0,0.28,306.82,466.11,2,1084.61,40,0,925.74,2129.03,Salary,1027.2,Utilities,Negative,67.7,Medium,956.05,0,-911.71,128.75820910587774,9.678070568344552
2023-05-10,1942,4573.38,2911.43,0.27,2182.29,normal,749.0,0.55,146.4,464.62,5,1591.2,86,0,293.81,1930.96,Salary,686.66,Education,Neutral,54.3,Medium,804.54,0,1661.9500000000003,63.66035623543199,3.201133516130302
2023-06-09,1353,2800.92,4529.3099999999995,0.24,2369.23,normal,657.0,0.17,125.73,553.6,4,1420.61,82,0,487.92,2253.56,Freelance,1787.83,Education,Positive,23.0,Low,1137.0,0,-1728.3899999999994,161.70793882010196,4.488882224411979
2023-07-09,1477,5578.55,4105.84,0.06,1942.39,recession,700.0,0.45,262.58,813.12,3,1379.9,74,0,473.79,2580.57,Freelance,1051.48,Healthcare,Negative,53.8,Medium,2977.84,1,1472.71,73.60048758189852,4.7069579012467395
2023-08-08,1657,4078.42,3513.8199999999997,0.33,2892.13,recession,630.0,0.37,589.78,690.28,8,1376.49,22,0,784.24,1158.34,Salary,1571.24,Groceries,Positive,6.3,Low,1531.83,0,564.6000000000004,86.15640370535648,14.46099224699761
2023-09-07,1275,4116.03,3890.48,0.14,2697.48,normal,688.0,0.53,485.74,386.86,9,897.14,76,0,228.4,2745.38,Salary,916.7,Healthcare,Positive,64.1,Low,1196.12,0,225.54999999999973,94.52020514913643,11.801177348075695
2023-10-07,1908,4268.09,4063.96,0.13,1820.82,recession,750.0,0.5,470.08,499.18,3,928.08,80,0,430.83,2556.3,Freelance,1076.83,Utilities,Positive,76.0,Low,1733.1,0,204.1300000000001,95.21729860429372,11.013825856530673
2023-11-06,1585,5466.77,3823.62,0.15,3075.67,normal,675.0,0.33,300.01,419.52,8,872.66,29,0,555.2,2010.92,Salary,1257.5,Education,Positive,87.6,Low,1948.62,0,1643.1500000000005,69.94294620040718,5.487884070484033
2019-01-01,1177,3593.89,4431.599999999999,0.25,2155.52,normal,619.0,0.13,725.61,698.79,7,1860.17,96,0,348.61,3220.52,Salary,862.47,Insurance,Positive,68.3,High,192.07,0,-837.7099999999996,123.30928325574794,20.190100420435797
2019-01-31,1900,5216.32,2683.25,0.25,3287.03,normal,695.0,0.25,322.61,207.54,4,429.86,25,0,152.69,1446.48,Mixed,1084.08,Entertainment,Negative,77.3,Low,2213.18,0,2533.0699999999997,51.439520581559414,6.184628243666033
2019-03-02,1213,3997.43,5561.950000000001,0.16,2257.94,normal,683.0,0.45,399.33,705.24,2,466.72,32,0,776.76,2170.57,Salary,2614.62,Education,Neutral,37.1,Medium,1753.87,0,-1564.520000000001,139.1381462589714,9.989668361922535
2019-04-01,1855,4838.69,3338.94,0.26,3274.63,recession,645.0,0.5,723.09,919.03,7,1226.78,87,0,470.58,1931.79,Salary,936.57,Groceries,Positive,23.8,Low,446.27,0,1499.7499999999995,69.00504062049852,14.943920771944475
2019-05-01,1094,3613.29,3925.01,0.25,3365.82,recession,649.0,0.48,516.49,465.08,8,609.45,93,0,226.87,3212.17,Freelance,485.97,Groceries,Neutral,99.4,High,2544.09,0,-311.72000000000025,108.62704073019327,14.29417511464621
2019-05-31,1900,4055.69,2510.84,0.16,1905.94,normal,764.0,0.41,262.43,483.13,6,354.31,24,0,342.8,1307.91,Mixed,860.13,Transportation,Neutral,38.0,Low,0.0,0,1544.85,61.90907095956545,6.470662205444697
2019-06-30,1483,4533.65,6346.98,0.16,2109.21,normal,658.0,0.27,568.54,122.02,7,1332.26,84,0,870.45,3362.31,Mixed,2114.22,Investments,Neutral,25.8,High,1142.76,0,-1813.33,139.9971325532408,12.54044754226727
2019-07-30,1512,5532.8,4243.95,0.32,2731.72,inflation,691.0,0.14,416.89,228.69,9,1635.48,59,0,545.09,2136.32,Mixed,1562.54,Investments,Positive,45.2,Medium,4721.89,1,1288.8500000000004,76.70528484673221,7.5348828802776175
2019-08-29,1458,5295.24,3105.69,0.11,3118.97,normal,726.0,0.16,525.73,356.75,8,1003.08,24,0,811.35,1293.6,Freelance,1000.74,Transportation,Positive,72.3,Low,3555.19,1,2189.5499999999997,58.650599406259204,9.928350745197575
2019-09-28,1038,3705.56,2446.98,0.18,2874.56,normal,692.0,0.11,686.14,0.0,4,1420.62,77,0,47.46,1052.47,Salary,1347.05,Groceries,Negative,97.4,Medium,733.11,0,1258.58,66.0353630760263,18.516499530435347
2019-10-28,1595,4521.79,2286.77,0.37,3025.06,normal,645.0,0.41,280.93,303.34,1,1013.99,90,0,187.14,1731.05,Salary,368.58,Entertainment,Negative,62.2,High,1389.86,0,2235.02,50.57222913934526,6.212805105942558
2019-11-27,1205,3629.51,4224.91,0.06,2658.66,normal,727.0,0.39,4.73,495.41,7,1294.54,23,0,532.19,2227.09,Salary,1465.63,Education,Neutral,73.8,Low,276.88,0,-595.3999999999996,116.4044182272538,0.13032062179192233
2019-12-27,1511,2586.17,4438.89,0.09,2409.44,inflation,613.0,0.56,604.13,979.88,7,185.58,34,0,679.0,2078.09,Salary,1681.8,Healthcare,Positive,50.3,Medium,52.14,0,-1852.7200000000003,171.63952872394316,23.3600266030462
2020-01-26,1084,3677.05,4303.36,0.17,3074.08,normal,753.0,0.57,366.83,601.09,9,834.09,36,0,146.24,2715.84,Salary,1441.28,Groceries,Positive,74.5,Medium,1401.01,0,-626.3099999999995,117.03294760745706,9.976203750288953
2020-02-25,1799,3285.42,3069.58,0.21,2966.68,recession,714.0,0.47,706.65,406.24,7,195.09,76,0,586.33,1361.88,Salary,1121.37,Entertainment,Positive,33.8,High,593.69,0,215.84000000000015,93.43036811123083,21.508665558741345
2020-03-26,1866,3814.84,3465.85,0.14,2757.38,recession,670.0,0.18,367.81,666.47,8,1872.93,37,0,537.93,2462.69,Freelance,465.23,Healthcare,Positive,96.9,Low,1794.23,0,348.99000000000024,90.85177884262511,9.641557706220969
2020-04-25,1949,2282.15,3857.34,0.08,2036.74,normal,612.0,0.43,573.76,489.73,5,486.95,93,0,438.09,2490.75,Salary,928.5,Investments,Positive,55.7,Low,473.73,0,-1575.19,169.02219398374342,25.141204565869902
2020-05-25,1730,4003.62,3134.6299999999997,0.17,2560.16,normal,628.0,0.46,660.45,767.32,1,794.26,57,0,525.02,1000.0,Salary,1609.61,Insurance,Positive,71.8,Low,0.0,0,868.9900000000002,78.29489312172483,16.496320829649168
2020-06-24,1355,4169.75,4985.54,0.39,3289.28,normal,658.0,0.24,633.69,759.34,8,1040.06,60,0,384.05,3045.44,Salary,1556.05,Insurance,Positive,46.4,Medium,1105.37,0,-815.79,119.5644822831105,15.197313987649142
2020-07-24,1166,4154.59,5084.26,0.37,3168.63,inflation,682.0,0.35,634.79,475.69,9,723.56,53,0,563.52,2297.94,Mixed,2222.8,Investments,Positive,93.6,High,1084.26,0,-929.6700000000001,122.37693731511412,15.279245364765234
2020-08-23,1694,5530.99,3574.1699999999996,0.26,1673.99,inflation,668.0,0.1,563.79,597.11,6,1304.41,50,0,437.43,1887.29,Salary,1249.45,Utilities,Neutral,69.7,High,4534.78,1,1956.8200000000002,64.62080025456564,10.193292701668238
2020-09-22,1230,2249.0,3154.44,0.1,3479.97,inflation,681.0,0.35,832.77,312.28,4,1475.67,73,0,226.64,1547.2,Salary,1380.6,Investments,Positive,9.6,Low,0.0,0,-905.44,140.2596709648733,37.02845709204091
2020-10-22,1306,4108.07,4042.7500000000005,0.2,3900.31,recession,668.0,0.1,298.17,41.32,2,669.87,76,0,400.19,2157.76,Salary,1484.8,Transportation,Positive,28.8,Medium,1516.88,0,65.31999999999925,98.4099589344875,7.258152855233724
2020-11-21,1856,3281.77,4656.05,0.09,2975.45,normal,621.0,0.22,91.88,625.54,6,1642.86,89,0,579.78,2982.26,Salary,1094.01,Dining Out,Positive,40.7,Low,344.5,0,-1374.2800000000002,141.87618266971788,2.799708693784147
2020-12-21,1310,3642.2,4252.0,0.25,1972.05,normal,721.0,0.16,782.47,423.27,2,1139.84,50,0,408.48,2303.32,Salary,1540.2,Insurance,Neutral,4.5,Low,1769.71,0,-609.8000000000002,116.7426280819285,21.483444072264017
2021-01-20,1332,3463.41,3702.1,0.08,2743.33,normal,604.0,0.16,415.25,396.61,5,1464.46,45,0,221.86,1895.09,Salary,1585.15,Healthcare,Neutral,91.8,High,191.47,0,-238.69000000000005,106.89176274249945,11.9896287185173
2021-02-19,1071,4599.21,4365.1,0.3,3528.02,inflation,657.0,0.37,385.63,736.26,6,503.96,21,0,606.22,2307.27,Salary,1451.61,Utilities,Positive,61.4,Low,1035.14,0,234.10999999999967,94.90977798361023,8.38470085079829
2021-03-21,1371,3375.82,4430.88,0.07,3402.61,normal,661.0,0.23,885.3,580.03,2,532.31,87,1,459.21,2665.28,Salary,1306.39,Insurance,Negative,23.5,Medium,748.51,0,-1055.06,131.2534436077753,26.224739470706375
2021-04-20,1938,4023.87,4333.0,0.17,3357.66,recession,740.0,0.21,470.65,0.0,7,2018.03,77,0,830.19,2651.21,Salary,851.6,Healthcare,Positive,87.0,Low,2663.55,0,-309.1300000000001,107.68240524669037,11.696451426114661
2021-05-20,1260,4976.02,3377.09,0.27,2370.54,normal,535.0,0.43,1151.87,318.52,5,592.64,58,0,346.96,2214.83,Salary,815.3,Insurance,Positive,93.5,Low,1073.28,0,1598.9300000000003,67.86729153017873,23.148419821463737
2021-06-19,1277,3874.19,4177.34,0.06,3160.19,inflation,709.0,0.42,359.9,0.0,9,192.49,21,0,826.7,2111.3,Salary,1239.34,Utilities,Positive,22.5,Medium,1200.29,0,-303.1500000000001,107.82486145491058,9.289683779060914
2021-07-19,1446,3539.63,3356.91,0.07,2554.84,normal,731.0,0.4,680.77,130.48,3,303.31,91,0,641.53,1446.19,Freelance,1269.19,Transportation,Negative,34.0,Low,2347.32,0,182.72000000000025,94.83787853532714,19.23280116848371
2021-08-18,1917,2832.28,3906.5699999999997,0.39,2712.04,normal,648.0,0.23,346.02,479.85,1,1165.48,68,0,390.53,2336.89,Salary,1179.15,Insurance,Negative,63.3,Medium,0.0,0,-1074.2899999999995,137.93021876368155,12.217012442272654
2021-09-17,1209,3456.66,3144.4900000000002,0.3,3457.95,normal,611.0,0.48,492.74,222.84,7,592.01,68,0,429.48,2045.01,Salary,670.0,Groceries,Neutral,10.7,Low,546.25,0,312.1699999999996,90.96902790555046,14.254800877147305
2021-10-17,1896,2954.93,5120.52,0.19,3533.22,inflation,696.0,0.35,324.05,608.22,1,959.69,69,0,516.68,2701.17,Salary,1902.67,Rent,Neutral,1.0,High,0.0,0,-2165.5900000000006,173.28735367673687,10.966418832256602
2021-11-16,1335,4374.48,3617.8500000000004,0.2,2581.05,normal,666.0,0.28,791.63,275.37,9,543.07,51,0,163.42,2079.27,Freelance,1375.16,Dining Out,Positive,48.0,High,0.0,0,756.6299999999992,82.70354419268119,18.09655090433606
2021-12-16,1604,3185.98,2706.53,0.15,2148.24,normal,613.0,0.32,421.45,403.33,1,959.2,56,0,453.23,1440.94,Salary,812.36,Insurance,Positive,98.9,Low,1464.73,0,479.4499999999998,84.95125518678711,13.228268852911821
2022-01-15,1895,3150.47,3234.02,0.05,2711.72,inflation,753.0,0.16,538.51,418.16,6,689.26,52,0,748.25,1384.25,Salary,1101.52,Transportation,Neutral,8.8,Low,390.8,0,-83.55000000000018,102.65198525934227,17.093005170657076
2022-02-14,1662,3797.06,4753.08,0.37,2453.8,inflation,690.0,0.34,372.48,25.42,1,1593.13,63,0,920.17,2452.58,Salary,1380.33,Dining Out,Positive,97.7,Low,1004.36,0,-956.02,125.17790079693236,9.809694869188268
2022-03-16,1461,3152.89,2322.4500000000003,0.13,3334.43,inflation,754.0,0.54,728.33,325.3,9,988.54,61,0,329.4,1350.44,Salary,642.61,Insurance,Positive,57.6,Low,1266.81,0,830.4399999999996,73.6609903929411,23.100393607135043
2022-04-15,1243,4953.73,2628.46,0.31,2929.87,inflation,651.0,0.56,1110.26,521.1,9,1472.05,88,0,517.53,1553.91,Salary,557.02,Dining Out,Negative,45.5,Medium,1940.64,0,2325.2699999999995,53.0602192691164,22.412606258314444
2022-05-15,1894,5299.48,4346.8,0.34,3367.14,recession,636.0,0.25,496.16,264.36,4,295.52,49,0,508.35,2556.54,Salary,1281.91,Groceries,Neutral,38.1,Low,2838.74,0,952.6799999999994,82.02314189316688,9.362428011804932
2022-06-14,1446,3266.25,3784.57,0.23,2511.99,normal,708.0,0.19,164.61,464.44,7,1085.1,97,0,407.98,2656.32,Salary,720.27,Groceries,Positive,99.5,High,1885.92,0,-518.3200000000002,115.86896287791811,5.0397244546498285
2022-07-14,1827,3805.09,3981.39,0.38,2905.7,normal,741.0,0.27,232.36,306.77,8,980.8,75,0,505.06,2657.53,Salary,818.8,Entertainment,Positive,76.2,Low,1758.43,0,-176.29999999999973,104.63326754426308,6.106557269341856
2022-08-13,1063,4695.21,3583.92,0.2,2232.93,normal,746.0,0.52,149.62,1114.32,1,1174.05,86,0,721.25,1585.08,Salary,1277.59,Investments,Positive,4.4,Medium,168.78,0,1111.29,76.331410096673,3.186651928241761
2022-09-12,1579,3062.59,4065.54,0.37,2715.38,normal,691.0,0.28,492.44,312.53,6,1952.76,49,0,799.8,2231.37,Freelance,1034.37,Investments,Neutral,33.3,Medium,688.41,0,-1002.9499999999998,132.7484253523978,16.07920093776836
2022-10-12,1866,2567.88,4168.7699999999995,0.22,3408.13,normal,663.0,0.41,505.42,0.0,1,397.39,32,0,399.37,1913.29,Freelance,1856.11,Investments,Positive,4.9,High,0.0,0,-1600.8899999999994,162.34286648908824,19.68238391202081
2022-11-11,1737,3564.15,3629.63,0.26,2846.31,inflation,711.0,0.14,544.1,48.06,4,397.5,68,0,285.79,2412.89,Salary,930.95,Insurance,Negative,53.1,Medium,1199.18,0,-65.48000000000002,101.83718418136161,15.265911928510304
2022-12-11,1370,3018.3,4737.46,0.18,2417.01,normal,635.0,0.36,722.82,438.22,3,997.38,71,0,687.59,2514.67,Freelance,1535.2,Utilities,Positive,7.1,High,174.41,0,-1719.1599999999999,156.95789020309445,23.947917702017694
