monthly_income,credit_score,rent_or_mortgage,essential_spending,discretionary_spending,risk_level,risk_band
4076.19,728.0,519.17,2970.22,482.28,0,Low Risk
4155.26,720.0,1396.85,2778.93,697.79,1,Medium Risk
1900.97,744.0,1418.73,2969.82,719.91,2,High Risk
2402.19,705.0,1762.45,2610.4,702.66,2,High Risk
3764.31,662.0,1127.83,2275.19,619.13,1,Medium Risk
3549.62,690.0,906.81,2522.92,722.47,1,Medium Risk
4722.51,655.0,936.35,1951.17,738.87,0,Low Risk
3393.56,614.0,920.01,3048.68,626.21,1,Medium Risk
4264.95,561.0,1485.3,3184.95,466.6,1,Medium Risk
3170.26,661.0,1027.2,2129.03,925.74,1,Medium Risk
4573.38,749.0,686.66,1930.96,293.81,0,Low Risk
2800.92,657.0,1787.83,2253.56,487.92,1,Medium Risk
5578.55,700.0,1051.48,2580.57,473.79,0,Low Risk
4078.42,630.0,1571.24,1158.34,784.24,0,Low Risk
4116.03,688.0,916.7,2745.38,228.4,0,Low Risk
4268.09,750.0,1076.83,2556.3,430.83,0,Low Risk
5466.77,675.0,1257.5,2010.92,555.2,0,Low Risk
3593.89,619.0,862.47,3220.52,348.61,1,Medium Risk
5216.32,695.0,1084.08,1446.48,152.69,0,Low Risk
3997.43,683.0,2614.62,2170.57,776.76,1,Medium Risk
4838.69,645.0,936.57,1931.79,470.58,0,Low Risk
3613.29,649.0,485.97,3212.17,226.87,1,Medium Risk
4055.69,764.0,860.13,1307.91,342.8,0,Low Risk
4533.65,658.0,2114.22,3362.31,870.45,1,Medium Risk
5532.8,691.0,1562.54,2136.32,545.09,0,Low Risk
5295.24,726.0,1000.74,1293.6,811.35,0,Low Risk
3705.56,692.0,1347.05,1052.47,47.46,0,Low Risk
4521.79,645.0,368.58,1731.05,187.14,0,Low Risk
3629.51,727.0,1465.63,2227.09,532.19,1,Medium Risk
2586.17,613.0,1681.8,2078.09,679.0,2,High Risk
3677.05,753.0,1441.28,2715.84,146.24,1,Medium Risk
3285.42,714.0,1121.37,1361.88,586.33,1,Medium Risk
3814.84,670.0,465.23,2462.69,537.93,0,Low Risk
2282.15,612.0,928.5,2490.75,438.09,2,High Risk
4003.62,628.0,1609.61,1000.0,525.02,0,Low Risk
4169.75,658.0,1556.05,3045.44,384.05,1,Medium Risk
4154.59,682.0,2222.8,2297.94,563.52,1,Medium Risk
5530.99,668.0,1249.45,1887.29,437.43,0,Low Risk
2249.0,681.0,1380.6,1547.2,226.64,2,High Risk
4108.07,668.0,1484.8,2157.76,400.19,0,Low Risk
3281.77,621.0,1094.01,2982.26,579.78,1,Medium Risk
3642.2,721.0,1540.2,2303.32,408.48,1,Medium Risk
3463.41,604.0,1585.15,1895.09,221.86,1,Medium Risk
4599.21,657.0,1451.61,2307.27,606.22,0,Low Risk
3375.82,661.0,1306.39,2665.28,459.21,1,Medium Risk
4023.87,740.0,851.6,2651.21,830.19,1,Medium Risk
4976.02,535.0,815.3,2214.83,346.96,0,Low Risk
3874.19,709.0,1239.34,2111.3,826.7,1,Medium Risk
3539.63,731.0,1269.19,1446.19,641.53,1,Medium Risk
2832.28,648.0,1179.15,2336.89,390.53,1,Medium Risk
3456.66,611.0,670.0,2045.01,429.48,0,Low Risk
2954.93,696.0,1902.67,2701.17,516.68,1,Medium Risk
4374.48,666.0,1375.16,2079.27,163.42,0,Low Risk
3185.98,613.0,812.36,1440.94,453.23,0,Low Risk
3150.47,753.0,1101.52,1384.25,748.25,1,Medium Risk
3797.06,690.0,1380.33,2452.58,920.17,1,Medium Risk
3152.89,754.0,642.61,1350.44,329.4,0,Low Risk
4953.73,651.0,557.02,1553.91,517.53,0,Low Risk
5299.48,636.0,1281.91,2556.54,508.35,0,Low Risk
3266.25,708.0,720.27,2656.32,407.98,1,Medium Risk
3805.09,741.0,818.8,2657.53,505.06,1,Medium Risk
4695.21,746.0,1277.59,1585.08,721.25,0,Low Risk
3062.59,691.0,1034.37,2231.37,799.8,1,Medium Risk
2567.88,663.0,1856.11,1913.29,399.37,2,High Risk
3564.15,711.0,930.95,2412.89,285.79,1,Medium Risk
3018.3,635.0,1535.2,2514.67,687.59,2,High Risk
4385.93,718.0,1307.07,2473.45,389.61,1,Medium Risk
3365.37,683.0,1455.59,2725.96,315.23,1,Medium Risk
4797.98,685.0,1231.69,2484.2,783.88,0,Low Risk
3940.12,665.0,2043.99,2089.57,347.27,1,Medium Risk
4576.18,751.0,418.92,1719.7,526.62,0,Low Risk
5111.08,698.0,660.59,2091.46,848.56,0,Low Risk
5514.81,703.0,1385.43,2559.54,450.6,0,Low Risk
3737.87,647.0,1378.12,2706.64,611.22,1,Medium Risk
2788.49,671.0,856.72,1893.97,487.03,2,High Risk
3145.16,608.0,1445.45,2165.56,778.07,1,Medium Risk
3360.3,693.0,1119.7,2093.06,887.86,1,Medium Risk
2578.18,771.0,1062.6,1991.85,449.34,1,Medium Risk
4532.96,664.0,1465.27,2385.74,366.62,0,Low Risk
6148.1,660.0,1199.77,2209.22,530.47,0,Low Risk
1947.27,669.0,1060.91,2171.38,162.89,2,High Risk
2918.58,657.0,1094.19,2141.52,342.52,1,Medium Risk
4743.64,759.0,1055.09,2888.98,338.95,0,Low Risk
2598.15,666.0,1321.52,2740.24,679.7,2,High Risk
3482.5,630.0,1423.22,2021.61,116.82,1,Medium Risk
4313.75,616.0,1846.99,2905.84,1007.33,1,Medium Risk
2413.74,728.0,1710.16,2016.58,309.67,2,High Risk
3351.95,731.0,916.09,1842.64,795.63,1,Medium Risk
4724.31,622.0,1127.59,2159.52,457.14,0,Low Risk
4744.74,734.0,1535.78,1374.36,490.81,0,Low Risk
4019.61,662.0,591.0,2248.86,373.47,0,Low Risk
3366.47,738.0,2133.36,2563.36,720.15,2,High Risk
4236.25,661.0,1059.87,2759.05,388.07,1,Medium Risk
3391.04,726.0,1914.63,1430.28,879.56,1,Medium Risk
2598.82,671.0,1055.44,1636.85,866.5,2,High Risk
3511.52,665.0,658.9,2461.02,752.48,1,Medium Risk
3735.72,674.0,1430.52,1917.47,310.85,1,Medium Risk
2829.98,695.0,1527.49,1254.88,534.4,1,Medium Risk
2249.7,644.0,1587.66,2155.4,740.21,2,High Risk
5275.13,661.0,1290.68,1907.7,284.43,0,Low Risk
5822.68,628.0,970.58,1000.0,339.71,0,Low Risk
2841.36,786.0,1259.7,1766.43,839.27,1,Medium Risk
5173.36,720.0,958.44,1000.0,799.8,0,Low Risk
3916.1,598.0,911.81,3000.99,657.48,1,Medium Risk
4870.59,643.0,1256.79,1622.42,254.78,0,Low Risk
3192.65,629.0,1639.1,2430.85,397.23,1,Medium Risk
4364.93,630.0,1535.82,2679.95,773.77,1,Medium Risk
4424.01,734.0,1040.46,1000.0,688.96,0,Low Risk
3950.61,717.0,1722.81,1725.78,348.13,1,Medium Risk
3552.09,674.0,547.59,3491.05,536.73,1,Medium Risk
3780.84,639.0,1811.64,2171.6,474.94,1,Medium Risk
4348.0,714.0,1248.21,2833.09,818.7,1,Medium Risk
4451.58,826.0,1268.71,2881.27,456.41,1,Medium Risk
4514.39,589.0,1666.56,2321.88,669.9,1,Medium Risk
4224.96,590.0,647.79,1618.49,748.45,0,Low Risk
3522.96,682.0,1237.43,1994.3,302.61,1,Medium Risk
5599.7,523.0,999.3,1000.0,547.21,0,Low Risk
4148.47,720.0,1480.44,2672.96,814.04,1,Medium Risk
5173.72,650.0,1071.56,2388.88,604.38,0,Low Risk
878.47,694.0,1729.85,1678.89,585.98,2,High Risk
5784.09,721.0,1291.04,2013.63,609.4,0,Low Risk
3598.39,652.0,1770.26,1625.5,397.14,1,Medium Risk
3751.22,672.0,583.68,1613.11,357.57,0,Low Risk
4018.19,723.0,300.0,2164.37,792.24,0,Low Risk
4405.6,667.0,1402.39,1317.03,604.26,0,Low Risk
3988.46,726.0,962.58,2494.41,98.36,0,Low Risk
2349.1,741.0,1041.19,2166.48,797.64,2,High Risk
3384.49,611.0,1226.57,1865.02,525.95,1,Medium Risk
2772.8,640.0,1254.4,1419.48,423.83,1,Medium Risk
3791.64,665.0,1586.13,2540.57,492.46,1,Medium Risk
5591.87,653.0,1334.98,3084.99,403.2,0,Low Risk
5463.62,739.0,1018.91,2560.7,842.28,0,Low Risk
5500.56,678.0,739.18,1793.33,416.96,0,Low Risk
4786.28,689.0,1074.03,3247.95,786.79,1,Medium Risk
3035.68,631.0,1335.64,1452.31,897.23,1,Medium Risk
2216.99,718.0,785.53,3829.47,498.4,2,High Risk
4581.92,680.0,1371.69,2129.07,300.61,0,Low Risk
2335.32,659.0,1172.8,2607.93,624.75,2,High Risk
4529.28,674.0,1605.25,2072.06,623.43,0,Low Risk
3107.16,675.0,300.0,1992.41,632.18,0,Low Risk
4721.11,688.0,1487.11,1726.92,632.74,0,Low Risk
3908.56,807.0,1746.55,2458.84,689.1,1,Medium Risk
4813.79,645.0,1025.64,3700.98,493.48,1,Medium Risk
3797.07,736.0,1728.14,2155.69,643.59,1,Medium Risk
4018.31,765.0,1304.51,1612.76,238.58,0,Low Risk
6187.45,676.0,612.75,2462.77,457.05,0,Low Risk
2602.7,654.0,1418.38,1778.1,236.9,1,Medium Risk
3970.71,676.0,1355.55,2311.11,852.02,1,Medium Risk
4896.1,757.0,851.91,1928.02,687.49,0,Low Risk
2149.49,662.0,904.08,1883.77,337.93,2,High Risk
4425.12,656.0,798.01,2568.6,861.52,0,Low Risk
4516.16,685.0,1362.81,1503.34,440.47,0,Low Risk
4960.36,654.0,947.18,3135.85,289.44,0,Low Risk
3579.28,578.0,982.64,2004.93,461.58,1,Medium Risk
4195.32,722.0,770.82,2207.11,504.13,0,Low Risk
3861.33,677.0,803.2,1453.05,846.35,0,Low Risk
4628.51,661.0,818.51,2398.46,910.56,0,Low Risk
4985.68,779.0,872.95,2524.21,550.23,0,Low Risk
4960.6,702.0,1697.35,2203.43,629.38,0,Low Risk
3400.45,767.0,1239.84,2362.15,798.83,1,Medium Risk
4381.57,628.0,1779.79,1807.13,953.03,1,Medium Risk
3925.11,612.0,1266.81,1566.64,529.17,0,Low Risk
2046.45,663.0,1651.71,2178.34,452.14,2,High Risk
4301.87,715.0,1060.97,1884.19,476.81,0,Low Risk
4030.27,682.0,1138.58,1579.39,647.95,0,Low Risk
4628.88,684.0,1376.24,2352.05,731.04,1,Medium Risk
4199.72,637.0,977.54,1683.32,586.17,0,Low Risk
3727.2,756.0,819.47,2389.16,233.62,1,Medium Risk
4566.2,718.0,1011.88,3050.94,298.67,1,Medium Risk
3905.58,742.0,1025.89,1854.28,775.94,0,Low Risk
4625.76,727.0,1224.58,1946.77,639.96,0,Low Risk
4153.75,680.0,1156.4,2952.92,686.32,1,Medium Risk
2929.28,769.0,1149.32,1122.05,629.97,1,Medium Risk
2378.14,609.0,1372.98,1822.37,446.63,1,Medium Risk
2932.61,714.0,955.07,2403.36,261.2,1,Medium Risk
4008.54,629.0,1646.5,2945.52,730.14,1,Medium Risk
4018.94,652.0,1007.75,2600.49,238.98,1,Medium Risk
4729.29,636.0,570.3,2161.93,286.52,0,Low Risk
4371.96,760.0,958.13,1875.97,391.69,0,Low Risk
4552.98,657.0,1729.39,2484.22,964.29,1,Medium Risk
4745.46,682.0,1237.81,1263.81,152.45,0,Low Risk
4820.37,724.0,1695.02,1714.96,211.92,0,Low Risk
5907.23,688.0,1208.49,2295.59,658.11,0,Low Risk
5196.78,704.0,361.49,2485.54,799.53,0,Low Risk
3008.33,662.0,1616.83,2332.52,528.58,1,Medium Risk
4589.2,682.0,1411.3,2528.63,666.19,0,Low Risk
4151.52,623.0,529.5,1781.24,124.82,0,Low Risk
4517.63,648.0,540.69,1599.26,680.79,0,Low Risk
3282.64,737.0,1614.83,2411.47,523.37,1,Medium Risk
5793.84,634.0,300.0,1000.0,516.09,0,Low Risk
916.04,680.0,857.33,1000.0,543.92,2,High Risk
3196.81,576.0,1166.25,1608.31,828.51,1,Medium Risk
3884.77,640.0,1713.33,2567.83,494.58,1,Medium Risk
6303.25,690.0,1114.01,1725.06,462.13,0,Low Risk
6580.84,657.0,981.29,1752.62,473.14,0,Low Risk
2303.02,663.0,1711.78,2370.78,708.84,2,High Risk
3441.61,720.0,1816.79,2155.96,538.13,1,Medium Risk
2739.6,699.0,1093.59,1717.87,187.94,1,Medium Risk
3548.86,641.0,1814.45,1818.82,538.73,1,Medium Risk
4373.16,652.0,865.02,2246.69,722.9,0,Low Risk
2884.4,707.0,924.24,2324.03,544.29,1,Medium Risk
4925.07,684.0,1082.22,1730.6,0.0,0,Low Risk
3555.98,716.0,1347.04,2967.72,717.65,1,Medium Risk
2902.45,651.0,1312.54,1964.1,637.51,1,Medium Risk
4524.43,714.0,1577.19,1860.51,506.18,0,Low Risk
3624.63,712.0,1298.37,1551.12,695.06,1,Medium Risk
4636.99,691.0,1368.84,3159.83,843.52,1,Medium Risk
3828.64,690.0,337.61,1024.55,385.35,0,Low Risk
4317.9,608.0,1808.17,1678.86,638.48,0,Low Risk
3518.17,697.0,711.26,2684.17,587.21,1,Medium Risk
4083.62,636.0,1039.35,2072.72,413.06,0,Low Risk
4455.53,720.0,1117.59,2461.61,674.34,0,Low Risk
3787.96,627.0,622.68,1233.79,443.07,0,Low Risk
3379.5,616.0,1095.54,2799.78,552.46,1,Medium Risk
4088.09,710.0,1461.19,2624.18,551.29,1,Medium Risk
6821.53,653.0,1031.42,2322.59,470.28,0,Low Risk
5869.52,763.0,865.11,2560.03,435.45,0,Low Risk
2646.33,757.0,1364.64,2621.33,624.87,2,High Risk
2979.88,700.0,1132.24,1723.53,509.17,1,Medium Risk
3914.16,648.0,1344.01,2272.18,486.96,1,Medium Risk
2476.92,598.0,1338.36,1593.15,158.12,1,Medium Risk
4036.28,781.0,1048.71,1301.27,636.08,0,Low Risk
4712.15,679.0,1193.97,2817.97,665.8,0,Low Risk
3789.06,661.0,1880.98,2842.82,577.05,1,Medium Risk
3647.49,660.0,1431.22,1165.72,648.47,0,Low Risk
5012.67,626.0,785.35,1511.97,605.61,0,Low Risk
2824.81,636.0,1712.07,2567.74,758.35,2,High Risk
3652.62,637.0,441.35,2069.21,343.91,0,Low Risk
2831.05,734.0,1196.39,2196.12,71.27,1,Medium Risk
3913.95,691.0,1460.22,1838.49,498.77,1,Medium Risk
5046.77,664.0,1391.38,2968.49,253.73,0,Low Risk
3273.03,752.0,1014.43,2604.53,465.91,1,Medium Risk
3322.09,700.0,802.1,2094.45,996.56,1,Medium Risk
3873.44,719.0,1039.99,3566.47,476.19,1,Medium Risk
4283.67,575.0,749.15,2718.95,782.71,1,Medium Risk
4741.24,769.0,1696.36,2450.71,690.65,1,Medium Risk
3561.44,765.0,872.25,2901.39,731.04,1,Medium Risk
3093.65,684.0,1750.89,1599.92,426.02,1,Medium Risk
1681.0,674.0,1570.24,1246.95,517.04,2,High Risk
4274.61,757.0,1481.57,2570.49,304.68,1,Medium Risk
3443.99,704.0,786.4,2248.27,205.16,1,Medium Risk
2990.7,651.0,420.06,1965.37,673.85,1,Medium Risk
3688.35,643.0,993.77,2005.82,612.91,1,Medium Risk
4431.8,607.0,1433.18,2509.19,774.05,1,Medium Risk
2482.74,656.0,908.01,3925.17,472.08,2,High Risk
3893.7,720.0,709.16,1463.57,666.82,0,Low Risk
4633.53,609.0,1071.79,1365.3,477.22,0,Low Risk
4343.46,699.0,1627.27,2624.58,749.1,1,Medium Risk
3214.42,748.0,873.93,2113.39,525.25,1,Medium Risk
2872.44,680.0,2165.26,2539.84,515.89,2,High Risk
2989.19,711.0,800.33,1990.34,329.38,1,Medium Risk
2402.24,639.0,1671.95,3007.72,321.86,2,High Risk
3919.48,636.0,844.06,1844.03,569.05,0,Low Risk
4850.12,703.0,889.28,2357.52,368.38,0,Low Risk
3969.26,734.0,907.71,1636.05,906.02,0,Low Risk
3390.22,717.0,765.13,2756.08,781.08,1,Medium Risk
4140.54,695.0,1370.45,2611.32,302.81,1,Medium Risk
4134.92,647.0,944.59,1858.83,194.65,0,Low Risk
3991.48,705.0,988.51,2284.59,452.17,1,Medium Risk
4700.05,671.0,1011.46,2637.38,426.9,0,Low Risk
4370.54,736.0,2088.46,1210.14,245.49,0,Low Risk
3195.59,621.0,1236.68,2209.88,666.17,1,Medium Risk
3193.45,725.0,1304.24,2727.35,126.32,1,Medium Risk
4276.42,706.0,1223.98,1798.22,584.31,0,Low Risk
3261.08,727.0,1193.31,2158.86,301.42,1,Medium Risk
4344.02,710.0,1443.29,1734.17,0.0,0,Low Risk
2981.02,722.0,1491.65,2625.12,267.46,2,High Risk
6056.93,705.0,1386.32,1000.0,569.5,0,Low Risk
2565.16,700.0,577.5,1432.31,480.12,1,Medium Risk
4371.67,682.0,1261.64,1718.06,748.92,0,Low Risk
5040.93,708.0,802.08,2329.35,516.09,0,Low Risk
2498.07,681.0,1822.25,1671.09,481.99,1,Medium Risk
3314.49,668.0,664.43,2802.85,578.38,1,Medium Risk
3804.27,638.0,1250.39,2253.05,241.23,1,Medium Risk
3942.37,718.0,1326.91,2412.97,562.32,1,Medium Risk
3509.23,674.0,1676.3,2232.27,456.32,1,Medium Risk
5186.4,633.0,1655.58,2515.57,793.91,1,Medium Risk
2162.05,626.0,1345.29,2861.31,700.72,2,High Risk
3451.67,681.0,1715.0,2657.69,128.07,1,Medium Risk
3212.02,663.0,1396.57,2301.04,748.54,1,Medium Risk
4015.48,580.0,1761.48,3905.56,0.0,1,Medium Risk
3666.66,669.0,1513.23,1910.88,874.35,1,Medium Risk
3989.76,698.0,1198.94,2510.82,525.44,1,Medium Risk
1533.84,667.0,1810.69,2636.74,763.53,2,High Risk
5395.68,673.0,300.0,1835.08,519.8,0,Low Risk
5064.66,666.0,786.12,2533.74,681.37,0,Low Risk
2556.47,636.0,878.22,1948.5,821.83,2,High Risk
1949.72,571.0,1390.28,1474.79,627.5,2,High Risk
3633.4,668.0,881.9,2490.03,379.58,1,Medium Risk
5471.78,696.0,2423.01,1802.09,542.82,0,Low Risk
4551.86,711.0,903.03,1874.79,319.13,0,Low Risk
3550.85,716.0,1311.01,2166.84,669.37,1,Medium Risk
3406.61,722.0,1505.23,2218.15,630.54,1,Medium Risk
3462.58,699.0,1040.43,2748.45,609.52,1,Medium Risk
3659.97,630.0,355.49,1755.42,347.53,0,Low Risk
3842.98,665.0,858.11,2758.48,696.81,1,Medium Risk
3223.75,655.0,1201.15,1554.8,187.17,0,Low Risk
4300.2,664.0,1226.11,2154.8,626.16,0,Low Risk
4366.82,676.0,1519.98,1740.07,281.61,0,Low Risk
3735.8,690.0,1074.66,2274.34,157.04,1,Medium Risk
3072.24,640.0,884.05,2535.46,624.75,1,Medium Risk
3742.93,643.0,761.16,1517.47,893.09,0,Low Risk
2418.64,614.0,781.41,3255.69,432.82,2,High Risk
3989.81,741.0,1401.76,2072.3,271.4,1,Medium Risk
4196.79,729.0,1820.12,1398.86,490.08,0,Low Risk
4290.13,663.0,822.24,1666.23,793.93,0,Low Risk
4150.27,681.0,955.2,2497.52,388.36,0,Low Risk
3501.21,724.0,1431.49,2467.31,645.79,1,Medium Risk
4145.43,635.0,300.0,1709.29,190.05,0,Low Risk
3421.48,715.0,1055.84,3204.29,713.98,1,Medium Risk
2695.8,646.0,1244.96,2251.77,705.95,2,High Risk
5407.44,663.0,564.47,2394.04,483.69,0,Low Risk
3799.96,680.0,1541.04,2869.47,388.87,1,Medium Risk
4895.09,599.0,1203.17,1998.58,444.77,0,Low Risk
4766.88,586.0,1658.96,2139.99,629.11,0,Low Risk
4598.12,634.0,1014.14,2447.52,349.98,0,Low Risk
4760.77,663.0,1330.08,2426.13,528.26,0,Low Risk
3635.83,626.0,978.42,1494.98,551.08,0,Low Risk
2733.02,669.0,723.41,1831.01,392.16,1,Medium Risk
3658.36,676.0,1662.03,2051.75,672.32,1,Medium Risk
4002.16,661.0,1050.45,2977.8,425.66,1,Medium Risk
3977.34,716.0,1406.41,1372.83,597.85,0,Low Risk
4254.4,680.0,1678.6,3255.65,569.76,1,Medium Risk
3361.32,772.0,1928.34,1688.85,734.27,2,High Risk
3330.45,813.0,992.91,2426.98,528.41,1,Medium Risk
2905.47,616.0,1994.25,2262.98,485.41,1,Medium Risk
3247.54,726.0,1370.43,2216.73,447.47,1,Medium Risk
5270.31,699.0,583.66,1846.67,213.12,0,Low Risk
5156.83,665.0,1375.73,3339.38,0.0,0,Low Risk
4533.02,687.0,1591.84,1914.6,617.45,0,Low Risk
3704.46,681.0,924.55,2115.76,487.78,1,Medium Risk
2461.89,672.0,775.16,1829.64,427.03,2,High Risk
3193.44,773.0,1278.43,3173.48,570.92,2,High Risk
4493.74,632.0,692.79,2016.61,310.54,0,Low Risk
5753.34,682.0,1359.53,2517.02,804.12,0,Low Risk
1118.44,578.0,1244.01,2066.33,722.05,2,High Risk
5855.6,656.0,1580.39,2031.58,475.13,0,Low Risk
4132.73,727.0,1303.56,1960.84,651.81,1,Medium Risk
4312.17,702.0,1466.19,2388.46,297.28,1,Medium Risk
4083.51,674.0,1685.53,2266.31,690.09,1,Medium Risk
3301.09,676.0,1337.76,1710.12,794.03,1,Medium Risk
3416.59,742.0,1674.74,2728.07,902.32,1,Medium Risk
3732.11,667.0,622.55,2176.01,656.08,1,Medium Risk
3787.19,687.0,1516.92,3815.58,675.69,1,Medium Risk
826.36,610.0,976.62,2937.06,681.99,2,High Risk
4037.48,607.0,787.68,2766.76,256.04,0,Low Risk
4352.97,752.0,2067.82,2622.08,755.9,1,Medium Risk
3857.32,673.0,1688.72,1551.91,540.7,1,Medium Risk
3976.54,638.0,821.07,3548.11,269.42,1,Medium Risk
2716.43,699.0,1055.94,2416.56,486.89,1,Medium Risk
4971.84,710.0,1239.05,1589.32,486.28,0,Low Risk
2598.41,636.0,1208.39,1488.14,281.92,2,High Risk
3737.62,606.0,1416.02,2560.27,0.0,1,Medium Risk
2791.22,616.0,1014.47,3095.28,337.83,1,Medium Risk
3525.79,750.0,1158.34,2490.48,653.28,1,Medium Risk
3538.65,667.0,1519.53,2739.96,396.44,1,Medium Risk
5984.12,676.0,1165.33,3573.37,16.62,0,Low Risk
4143.98,626.0,1143.66,2984.14,451.75,1,Medium Risk
3996.81,644.0,1066.21,2312.53,450.36,0,Low Risk
3925.45,700.0,886.93,3386.47,370.47,1,Medium Risk
2415.69,738.0,1355.4,1710.66,562.3,1,Medium Risk
4345.86,666.0,657.1,1893.08,438.31,0,Low Risk
3167.23,705.0,792.28,2712.07,280.84,1,Medium Risk
3667.84,636.0,1625.68,2914.63,276.96,2,High Risk
4691.35,718.0,726.94,1311.71,702.55,0,Low Risk
3408.84,676.0,1537.6,2387.99,532.18,1,Medium Risk
2382.08,679.0,1192.18,1968.53,183.1,1,Medium Risk
2672.05,623.0,1399.77,2467.85,408.37,1,Medium Risk
2968.03,653.0,1464.48,2341.66,549.79,1,Medium Risk
3190.22,639.0,1380.57,2677.86,287.75,1,Medium Risk
3764.6,653.0,930.68,2513.74,775.1,1,Medium Risk
2661.13,712.0,361.44,2987.12,556.46,1,Medium Risk
3355.81,693.0,1382.81,1112.07,704.16,1,Medium Risk
3757.85,682.0,1140.47,1996.91,604.83,1,Medium Risk
3305.48,688.0,1161.89,2408.33,294.62,1,Medium Risk
5433.69,681.0,978.44,2187.27,144.97,0,Low Risk
3993.72,660.0,1241.88,2721.92,727.98,1,Medium Risk
4456.07,781.0,756.83,2619.34,462.19,0,Low Risk
4598.81,722.0,962.91,2177.76,361.57,0,Low Risk
3967.48,650.0,1482.44,2166.14,362.88,1,Medium Risk
3710.06,756.0,928.37,1894.23,424.2,0,Low Risk
3468.29,643.0,968.91,3132.23,755.39,1,Medium Risk
1596.51,742.0,1633.35,1179.06,381.53,2,High Risk
4085.94,698.0,916.16,2321.52,700.37,1,Medium Risk
3880.74,698.0,2252.27,1554.28,705.38,1,Medium Risk
5089.88,745.0,622.6,3162.15,482.65,0,Low Risk
3669.75,643.0,1291.86,2439.15,544.49,1,Medium Risk
4190.52,695.0,1136.34,1186.27,154.0,0,Low Risk
4160.5,621.0,1219.7,2535.19,887.98,1,Medium Risk
6406.73,705.0,529.35,2451.91,750.01,0,Low Risk
3907.04,691.0,1685.33,3042.43,222.83,1,Medium Risk
3868.2,661.0,1327.69,1027.61,604.92,0,Low Risk
5263.09,684.0,1181.61,2330.05,569.14,0,Low Risk
1830.45,708.0,1143.57,2218.76,740.71,2,High Risk
4708.46,697.0,1152.65,2430.74,690.13,0,Low Risk
3568.59,675.0,922.94,3431.47,479.39,1,Medium Risk
4151.57,603.0,1871.18,3379.82,77.3,1,Medium Risk
3221.83,709.0,1416.99,2157.51,505.17,1,Medium Risk
4161.1,712.0,1146.6,2541.1,604.8,1,Medium Risk
4504.36,643.0,1066.57,1580.99,458.21,0,Low Risk
3308.17,641.0,640.55,1607.32,324.9,0,Low Risk
4172.19,725.0,849.97,2978.74,570.84,1,Medium Risk
4007.61,674.0,1014.97,1807.47,372.65,0,Low Risk
4140.4,687.0,1574.03,3507.24,769.98,1,Medium Risk
3388.47,598.0,1914.44,2185.74,856.96,1,Medium Risk
